ingredient	target
(1R,35R,37R,38R,55S)-6,7,8,11,12,23,24,27,28,29,37,43,44,45,48,49,50-heptadecahydroxy-2,14,21,33,36,39,54-heptaoxaundecacyclo[33.20.0.04,9.010,19.013,18.016,25.017,22.026,31.038,55.041,46.047,52]pentapentaconta-4,6,8,10,12,16,18,22,24,26,28,30,41,43,45,47,49,51-octadecaene-3,15,20,32,40,53-hexone	PTPN1|PDIA3|DGAT1
1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine	SLC18A2|SLC6A4|SLC6A3|SLC6A2
(2R,3R)-3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)-2,3-dihydrochromen-4-one	FGF2|NFKB1|VEGFA|TYR|IKBKB|CASP3|COL11A2|SPHK1|NFE2L2|ABCC2
methyl (1S,4aR,5S,8aR)-1,4a-dimethyl-6-methylidene-5-[2-(5-oxo-2H-furan-4-yl)ethyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylate	SOD1
2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one;hydrate	IL2|IL6|IFNG
5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	PTGS2|FOXM1|NOS2|TNF|E2F1|SOD2
[4-hydroxy-6-methyl-8-oxo-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-oxatricyclo[4.3.0.03,9]nonan-9-yl]methyl benzoate	BDNF
5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-6,7-dimethoxychromen-4-one	TBX21
[(2S,3R,4S,5S)-3-[(2S,3R,4S,5R,6S)-5-[(2S,3R,4S,5R)-4-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-3,5-dihydroxyoxan-2-yl]oxy-3,4-dihydroxy-6-methyloxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl] (4aR,5R,6aR,6aS,6bR,8aR,10R,11S,12aR,14bS)-5,11-dihydroxy-9,9-bis(hydroxymethyl)-2,2,6a,6b,12a-pentamethyl-10-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate	CASP8|NOS2|HSP90AA1|IL4|IFNG|GATA3|IL10|TNF|IL2|IKBKB|CASP3|CCND1|MKI67|CDKN1A
3-(prop-2-enyltrisulfanyl)prop-1-ene	FASN|TXN|CALR|IFNG|MAPK8|CCND1|CDK4|HMOX1|CDK2|MAPK9|NOS3|CTH|MT2A|NFKBIA|NFKB1|BCL2|XIAP|BIRC2|BID|CASP1|CASP8|CASP9|SHC1
3-(2-hydroxy-1H-indol-3-yl)indol-2-one	BCL2|CDK2|CDK4
(1S,2S,4S,5R)-6-methoxycyclohexane-1,2,3,4,5-pentol	NFKBIA|RELA
1,6,6-trimethyl-8,9-dihydro-7H-naphtho[1,2-g][1]benzofuran-10,11-dione	AQP3|TP53|CYP1A2|JUN|ECE1|PTEN|ITGB3|TNF|AQP1|RELA|CALCR|CDKN1A|CASP3|CYP3A4|AQP8|NFKBIA|MAPK11|AQP9|NOS3|BAX|MAPK8|EDNRA|BCL2|MMP9|TLR4|SRC|FASN|AKT1|EDN1|NFE2L2|NR1I2|MAPK1|SKP2|MAPK14|MYC|NPM1|FOS|BMP2|RIPK1|TNFRSF9|CRP|SELP|IL6|IL1A
(1aR,7R,7aR,7bS)-1,1,7,7a-tetramethyl-1a,4,5,6,7,7b-hexahydrocyclopropa[a]naphthalen-2-one	AKT1|NOS3
(1R,2R,9R,17S)-7,13-diazatetracyclo[7.7.1.02,7.013,17]heptadecan-6-one	IL6|TNF|EPHB2|MAPK1|MAPK8|ROS1
(1S,2R,5S)-5-methyl-2-propan-2-ylcyclohexan-1-ol	TRPM8|TRPV1
3-hydroxy-3-methylpentanedioic acid	CAT|TLR4|G6PD
(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol	CACNB3|TRPA1|CACNB1|CACNA1F|TRPV3|CACNA1D|CACNA1S|TRPM8|OPRK1|CACNA1C|CACNA1A|CACNB2|CACNB4|CYP2A13|CYP2A6|NFKB1|E2F1|MMP2|CASP3|RB1
cobalt(2+);[(2R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[(4Z,9Z,14Z)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydrocorrin-3-yl]propanoylamino]propan-2-yl phosphate;cyanide	APP
2-hydroxy-6-pentadecylbenzoic acid	COL1A2|HSP90AA1|CREBBP|KAT2B|EP300|AURKA|TCIRG1
6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione;dihydrate	TNF|ICAM1|NLRP3|MAPK1|MYLK3|MAPK3|BNIP3|CYCS|CASP3|CYP2J2|HMOX1|HMOX2|VEGFA|TNFRSF11B|EPHX2|CYP4F2|AKT1|NOTCH1|NOTCH3|SHH|NFKB1|NOS2|MPO|PTGS2
(1R,2S,6S,9S,10S,11S,14S,15S,18S,20S,23R,24S)-10,20-dihydroxy-6,10,23-trimethyl-4-azahexacyclo[12.11.0.02,11.04,9.015,24.018,23]pentacosan-17-one	BAX|BCL2|CASP3|SERPINE1
(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-3,5-dihydroxy-2-[[(1S,2S,4S,5R,8R,9R,10S,13S,14R,17S,18R)-2-hydroxy-9-(hydroxymethyl)-4,5,9,13,20,20-hexamethyl-24-oxahexacyclo[15.5.2.01,18.04,17.05,14.08,13]tetracos-15-en-10-yl]oxy]-6-methyloxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	MYC|BAX|BCL2|CDKN2A|RB1|CDKN2B|CASP3
(5S)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradecan-3-one	GATA1|SRC|CYP3A4
(3R,4R,4aR,6aR,6bS,8aR,11R,12S,12aR,14aR,14bR)-3-hydroxy-4,6a,6b,8a,11,12,14b-heptamethyl-2,3,4a,5,6,7,8,9,10,11,12,12a,14,14a-tetradecahydro-1H-picene-4-carboxylic acid	MAPK8|PARP1
(1S,9S,17S)-7,13-diazatetracyclo[7.7.1.02,7.013,17]heptadeca-2,4-dien-6-one	IL6|TNF
[(8R,9S,10R,13S,14S,17R)-17-acetyl-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl] hexanoate	PGR
(2R,3S)-1,4-bis(4-hydroxy-3-methoxyphenyl)-2,3-dimethylbutan-1-one	MBL2
ethyl (2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoate	DRD1|DRD2|DRD3|DRD4|DRD5
(3S,4R,5S,6S)-6-methyloxane-2,3,4,5-tetrol	CD209
5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid	PCCA|HLCS|MCCC2|PCCB|MCCC1|ACACB|ACACA|PC|GK|SLC2A4|SLC5A6
(3S)-3-amino-4-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[(2S)-2-[[(1S)-1-carboxy-2-phenylethyl]carbamoyl]pyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-4-oxobutanoic acid	MMP2|MAPK3|AGT|RELA|AGTR1|TNFRSF12A|YAP1|AGTR2|AGTRAP|ETS1|DPP4|STAT3|VEGFA|TGFB1|MAPKAPK2|MMP13|NR3C2|MRGPRX3|REN
pyridin-4-amine	KCNB1|KCNA2|KCND2|KCNC1|KCND3|KCNC3|KCNA4|KCNA3|KCNA6|KCNA10|KCND1|KCNB2|KCNA1|KCNA5|KCNC2|KCNA7|KCNC4
(3bR,9bS)-6-hydroxy-9b-methyl-7-propan-2-yl-3,3b,4,5,10,11-hexahydronaphtho[2,1-e][2]benzofuran-1-one	TNF
3-butyl-4,5-dihydro-3H-2-benzofuran-1-one	TNFRSF9
ethane-1,2-diol	VEGFA
[(1R,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate	CHRNB2|CHRNA4|CHRM5|CHRM3|CHRM4|CHRM2|CHRM1|GLRA1|MPO|ACHE|HTR1A|MLN|PTGS2|CHRNA9|FOS|PPY|APP|GLP1R
(4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-[(2S,3R,4S,5S)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl]oxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid	AKT1|MTOR|SRC
2-[4-[(2S)-2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide	ADRB1
acetic acid	GBA2|ACE|NOS2|MPO|TREH|PTGS2|MGAM|PFKM|IL10|SELP|FOS|AQP4|REN|SOD1|TNF|GGT5|RELA
4-[2-(4-hydroxy-3-methoxyphenyl)ethyl]-2,6-dimethoxyphenol	PLK1
(2S,3S,4S,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-8a-carboxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-4-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxane-2-carboxylic acid	CTNNB1
acetaldehyde	HDAC11|MMP2|CDT1|CAT|MMP1|PPARG|TIMP1|AGT|IL1B|JUN|SOD2|MMP11|TNF|SMAD7|CELF1|RELA|MAPK9|NFKBIA|IL6|CEBPB|RAPGEF4|JMJD6|PENK|MAPK8|SELP|RARB|COL7A1|CTSG|MMP9|CDK4|ADIPOQ|POMC|COL1A2|PLAU|MT2A|TIMP2|FN1|ST6GAL2|MYC|TGFB1|PRKCB|COL1A1|CMA1|CTSL|CCND1|FOS|OPRK1|RYR2|PMM2
(1R,12S,13R)-13,24-dimethyl-5,7,18,20-tetraoxa-24-azahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-2,4(8),9,14(22),15,17(21)-hexaen-12-ol	CDK1|BAX|CASP3
(2S,4R)-4-[(3R,5S,6R,7R,8S,9S,10S,13R,14S,17R)-6-ethyl-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-methylpentanoic acid	ABCB1|COG2|SCNN1A|HSD11B1|FGF19|NFKB1|NR1I3|SOX2|SPX|IL6|GPBAR1|IL17A|HBG1|CDX2|HSD11B2|NR1H4|TLR4|EGFR|LPL|CYP8B1|NR1I2|MAPK1|PTGS2|NR0B2|FOXA2
2,2-dimethyl-3H-pyrano[3,2-g]chromene-4,8-dione	SNAI1
acetamide	HSP90AA1
[(3aR,4S,5aR,9aR,9bR)-5a-ethenyl-3,9-dimethylidene-2,8-dioxo-3a,4,5,6,9a,9b-hexahydrofuro[2,3-f]isochromen-4-yl] 2-(hydroxymethyl)prop-2-enoate	BCL2L11|CDKN1B|AKT1|FOXO3|PIK3CA|PIK3CB|PIK3CD|PIK3CG|CCND1|CDKN1A|PCNA
(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid	PPARG|ACHE|TLR2|MAPK1|HDC|MAPK8|NOTCH1|IRAK4|GAA|BCHE|VEGFA|NFKB1|BCL2|NEU1
7-[(2Z)-3,7-dimethylocta-2,6-dienoxy]chromen-2-one	SOAT1|AKT1|ESR1
(1R,2R,7S,10R,13R,14R,16S,19S,20S)-19-(furan-3-yl)-9,9,13,20-tetramethyl-4,8,15,18-tetraoxahexacyclo[11.9.0.02,7.02,10.014,16.014,20]docosane-5,12,17-trione	CYP3A4
[(6R)-6-[(2S,8S,9R,10R,13R,14S,16R,17R)-2,16-dihydroxy-4,4,9,13,14-pentamethyl-3,11-dioxo-2,7,8,10,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl] acetate	ERBB2|CASP7|PARP1|ACLY|CASP3|AKT1|MTOR|MAPK1
(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[[(10R,12S,13R,14R,17S)-12-hydroxy-17-[(2R)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,10,13,14-pentamethyl-2,3,5,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	VEGFA|MMP2|MMP9|PIM3
[(1S,3aR,5R,5aR,8aR,9S,9aR)-1,5,8a-trimethyl-2,8-dioxo-3a,4,5,5a,9,9a-hexahydro-1H-azuleno[6,5-b]furan-9-yl] 2-methylprop-2-enoate	PARP1|MMP9|AIFM1|GPX4|MMP2
2-(5-hydroxy-1H-indol-3-yl)acetic acid	MME
(2S,4aS,6aS,6bR,10S,12aS)-10-hydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid	HRAS|KRAS|REM1|PRKCA|MAPK1|MAPK14|CASP3|CASP8|CASP9|ERN1|MAPK8
(2S,3S,4S,5R,6S)-6-[5,6-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid	WNT3A|AKT1|PKM|NLRP3|BAX|BCL2L1|CYP1A2|MMP13|FZD7|PRKCG|CYBB|NOTCH1|ADAMTS5|BCL2|CASP3|MAPK14|HES1|RBPJ|CCL2|AHSA1|CRK|MAPK1|MAPK3|TGFB1|FN1|TNF|AGT
(2S,3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol	ITIH4|PPARG|POMK|TPO|CD209
2-acetyloxyethyl(trimethyl)azanium	CHRM3|CHRM4|CHRM2|CHRM1|CHRNA7|CHRFAM7A|MAPK3|ADRB3|GAS5|TGFB1|IL6|ACHE|AGT|MAPK1|FYN|CHRNA4|MUSK|MAPK8|GFAP|BCHE|HMOX1|P2RX7
2-amino-9-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one	TLR7
(2R,4aR,6aR,6aS,6bR,9R,10S,12aR,14bR)-10-hydroxy-9-(hydroxymethyl)-2,6a,6b,9,12a-pentamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-2,4a-dicarboxylic acid	PTGS2
7,8-dihydroxy-2-phenylchromen-4-one	NTRK1|MAPK1|AKT1|NTRK2
7H-purin-6-amine	SRPK2|ACP1|MTAP|PECR|ACACB|APRT|AHCYL1|PRKAA1|PPID|HAMP|FGF23|ADA|MTOR
2,3,9,10-tetramethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium	TH|CYP2E1|CYP3A4
(2S,3R,5R,9R,10R,13R,14S,17R)-17-[(2S,3R)-3,6-dihydroxy-6-methylheptan-2-yl]-2,3,14-trihydroxy-10,13-dimethyl-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one	MICAL1|GJD4|SLCO1A2|MAP3K5|MAPK8|FOXO3|FOXO1|YAP1|HDAC8|LAS1L|LATS1
hydron;nonanedioate	BAX|BCL2
(2S)-7-hydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one	SLC22A12
(2R,3R,10R,11R,18S,19S)-3,11,19-tris(4-hydroxyphenyl)-4,12,20-trioxaheptacyclo[16.6.1.12,5.110,13.021,25.09,27.017,26]heptacosa-1(25),5,7,9(27),13,15,17(26),21,23-nonaene-7,15,23-triol	PTGS2
(2S,3R,4S,5S,6R)-2-[(2S,3R,4S,5S,6S)-5-hydroxy-6-(hydroxymethyl)-2-[(4S,5'R,7S,8R,9S,13S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16-yl]-2,3-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	NAMPT|PPARG
(1S,12S,13R)-24-methyl-5,7,18,20-tetraoxa-24-azahexacyclo[11.11.0.02,10.04,8.014,22.017,21]tetracosa-2,4(8),9,14(22),15,17(21)-hexaen-12-ol	CCNB1|TUBA1A
(3S)-6,7-dimethoxy-3-[(5R)-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-3H-2-benzofuran-1-one	PAK4
(2R,4S,5R,10S,13R,14R,18S,20R)-10-[(2S,3R,4S,5S)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-2-hydroxy-4,5,9,9,13,20-hexamethyl-24-oxahexacyclo[15.5.2.01,18.04,17.05,14.08,13]tetracosane-20-carbaldehyde	VCAM1|ICAM1
N-(4-hydroxyphenyl)acetamide	TRPA1|MAPK3|ABCB1|NFKB1|CYP3A4|IL6|TXNRD1|CALCA|MAPK8|BCL2|TLR4|TRPV1|HSP90AA1|MPO|CHUK|OLR1|MAPK1|VEGFA|ABL1|PTGS2|MMP8|CYP2E1|CNR1
2-(4-aminobutyl)guanidine	NFE2L2|CASP3|NOS2|NFKB1|RPS6KA3|EEF2|BDNF|AGMAT
(4R)-10,11-dimethoxy-5-methylspiro[5-azatricyclo[6.3.1.04,12]dodeca-1(12),8,10-triene-2,4'-cyclohexa-2,5-diene]-1'-one	SLC2A4
24-methyl-5,7,18,20-tetraoxa-13-azoniahexacyclo[11.11.0.02,10.04,8.015,23.017,21]tetracosa-1(24),2,4(8),9,13,15,17(21),22-octaene	MAPK8|TNF|IL6|MAPK9
hydron;benzoate	SLC15A1|HSP90AA1|MIF|PPARA|DAO
(2S,5S,6S,14R,15S,16R)-18-hydroxy-2-(2-hydroxyacetyl)-14-methyl-17-oxapentacyclo[14.2.1.01,5.06,15.09,14]nonadec-9-en-11-one	ACE|AGT|SCNN1A|CCL2|MAPK7|RGN|AQP1|SCNN1B|RELA|CDKN1A|CDK2|HNRNPA2B1|SMAD3|DUOX2|SLC7A8|NOS2|NOS3|RAF1|PCOLCE|KLK1|GH1|ACE2|CALCA|SLC7A5|KLK10|MLPH|SERPINE1|COL3A1|CCNA2|SCNN1G|TSC22D3|KDR|CDK4|SRC|EGFR|SLC1A5|EDN1|HCN2|SLC3A2|PPARA|SPP1|CYP11B2|G6PD|FN1|MAPK1|SGK1|FASLG|YWHAB|TGFB1|AQP2|DDIT3|COL1A1|HCN4|PTGS2|PURA|NR3C2|CCND1
4-oxo-4-[[(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-yl]oxy]butanoic acid	PRKCA|DGKD|DGKG|DGKH|DGKI|NR1I2|SEC14L3|DGKB|SEC14L2|PRKCB|DGKA|DGKQ|DGKE|DGKK|ALOX5|DGKZ
(2,5-dioxoimidazolidin-4-yl)urea	NISCH
1,2-dihydropyrazolo[3,4-d]pyrimidin-4-one	XDH|TDO2|IL1B|ABCC4|HPRT1
adamantan-1-amine	CHRNA3|CHRFAM7A|CHRNA7|GRIN3A|DRD2|CHRNA4
1-(4-hydroxy-3-methoxyphenyl)dodecan-3-one	PTGS1
1,3-dimethyl-7H-purine-2,6-dione	CPNE1|PDE4A|PDE3A|ADORA2A|RIC3|PDE4B|NOMO1|HM13|ADORA1|PARP1|ADORA2B|TTLL3|HDAC2|PDE5A|PDE10A|PDE7B|PDE11A|PDE1A|PDE1C|PDE2A|PDE3B|PDE4C|PDE4D|PDE7A|PDE8A|PDE1B|PDE8B|PIK3CA|CYP1A2|ICAM1|PIK3CD|IL6|HMGCR|MME|BCL2|MPO|HDAC9|PRKDC|B2M|TINCR|RNASE3|SELL|ALDH7A1|ITGB2|REN|TH|AKT1|MAPK1|MAPK3|MAPK14
(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-3,12-dihydroxy-17-[(2S)-2-hydroxy-6-methylhept-5-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-methyloxane-3,4,5-triol	NFKBIA|VCAM1
[(2R,3S,4S,5R,6S)-6-[[(1R,2S,3R,5R,6R,8S)-2-(benzoyloxymethyl)-6-hydroxy-8-methyl-9,10-dioxatetracyclo[4.3.1.02,5.03,8]decan-3-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methyl benzoate	NFKB1|COX2|PTGS1
[(3R)-1-azabicyclo[2.2.2]octan-3-yl] (1S)-1-phenyl-3,4-dihydro-1H-isoquinoline-2-carboxylate;butanedioic acid	CHRM3
(2R,3S,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	ADORA2B|NT5E|HIF1A|P2RY1|ADORA3|PDK4|GATA2|AHCY
1-(2-chlorophenyl)-2-(propan-2-ylamino)ethanol;hydrate;hydrochloride	ADRB2
6,7-dichloro-5,10-dihydro-3H-imidazo[2,1-b]quinazolin-2-one	PDE3A
3-(4-hydroxyphenyl)-2H-chromen-7-ol	TOP2A|TOP2B|SRD5A1|SRD5A2|SRD5A3
5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosane-6,2'-oxane]-16-ol	PTGS2
(7S)-1,2,3,10-tetramethoxy-7-(methylamino)-6,7-dihydro-5H-benzo[a]heptalen-9-one	MAP1A|MAP1B|MAPK1
1-(4-hydroxy-3-methoxyphenyl)ethanone	MAPK3|NCF1|AKT1|NOX1|CYBA|GCLC|PCK2|CYBB|MUC5AC|MAPK1|NOX4|DECR1
(4R)-4-[(3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	COX7C|COX2|ESRRG|COX6A2|PLA2G1B|COX3|COX4I1|COX1|NR1H4|COX7A1|COX6C|COX5A|FABP6|FECH|COX8A|COX7B|CES1|COX6B1|ADH1C|COX5B|GPBAR1|NR1I2
5-[(3S,8R,9S,10R,13R,14S,17R)-14-hydroxy-10,13-dimethyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,2,3,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one	HIF1A|TOP1|CASP3|TOP2A
(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	TGFB1|CASP8|BAX|MAP2|EDN1|PRKCA|CASP9|BCL2|CASP3|PRKAA2
(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	GSTM3|GSTA2|GSTM1|HPGDS|GSTP1|GSTA1|GSTT1|GSTM4|NR1H4|GSTM5|GPBAR1|GSTT2B|GSTT2|EFTUD1|GSTM2|ICAM1|SOD2|FGF19|CYP3A4|CYP7A1|HMGCR|CACUL1|MMP9|MUC2|EGFR|VCAM1|APC|MIR21|LDLR|PTGS2|CYP2E1|BIRC2
(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,12,14,15,16-decahydrocyclopenta[a]phenanthrene-3,11-dione	NR3C1
methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate	TJP1|IL6|SLC2A4|MAOA|MGMT|HIF1A|HSPB1|F2R|PCK2|CTNNB1|SERPINH1|CXADR|NR1I2|IL2|TNF
8-methoxy-6-nitronaphtho[2,1-g][1,3]benzodioxole-5-carboxylic acid	VEGFA|PLA2G1B|PLA2G2A|TP53
1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-one	NR1I3|NOS2|GSTP1|ABCB1|HIF1A|GSTA1|CYP2B6|TDP1|VEGFC|SOD2|NR1I2|SP1|VEGFA|RELA|TNF|CYP3A4|CDK4
7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one	FOS
2-acetyloxybenzoic acid	PTGS1|PRKAG1|CCND1|HSPA5|PRKAG3|MAPK1|PRKAG2|NFKBIA|TP53|PTGS2|MAPK15|MAPK6|IKBKB|PRKAB2|MAPK3|PRKAA2|PCNA|EDNRA|MAPK4|CASP3|AKR1C1|RPS6KA3|PRKAB1|PRKAA1|MYC|MAPK7|TNFAIP6|CASP1|NEU1|HMGCR|FGF2|S100A8|PTPN13|ALDH1A1|HSPA4|TERT|SERPINH1|PLAUR|PTTG1|CX3CL1|DAG1|ABCC4|NFKB1|PON1|MTOR|POU5F1|SOX2|ITGAM|NOS3|SLC2A1|TLR2|HSPD1|MAPK8|XRCC3|HLF|SERPINE1|BCL2|MMP9|HPSE|GAP43|CREB1|P4HA2|TLR4|ADIPOQ|MPO|IL4|TFAP2A|PPARA|FOXP3|TIMP3|FN1|VEGFA|SIRT1|FGF1|TGFB1|MAT1A|COX8A|CX3CR1|CXCL8|CTNNB1|MKI67|PTK2|IL11|NANOG
2-[4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]acetamide	SLC47A1|ADRB1|SLC22A2|ADRB2
6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine	GPER1|GSTM1|MAPK1|GHRHR
(1E,3Z)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradeca-1,3-dien-5-one	PCSK9|CETP
nonanedioic acid	SRD5A2|AKR1D1|TYR|SRD5A1|SRD5A3|BAX
