Model,Fold,FPR,TPR
Naive Bayes,2,0.108696,0.486726
Naive Bayes,2,0.130435,0.486726
Naive Bayes,2,0.130435,0.539823
Naive Bayes,2,0.152174,0.539823
Naive Bayes,2,0.152174,0.548673
Naive Bayes,2,0.173913,0.548673
Naive Bayes,2,0.173913,0.601770
Naive Bayes,2,0.195652,0.601770
Naive Bayes,2,0.195652,0.628319
Naive Bayes,2,0.217391,0.628319
Naive Bayes,2,0.217391,0.672566
Naive Bayes,2,0.260870,0.672566
Naive Bayes,2,0.260870,0.690265
Naive Bayes,2,0.282609,0.690265
Naive Bayes,2,0.282609,0.716814
Naive Bayes,2,0.326087,0.716814
Naive Bayes,2,0.326087,0.743363
Naive Bayes,2,0.347826,0.743363
Naive Bayes,2,0.347826,0.769912
Naive Bayes,2,0.369565,0.769912
Naive Bayes,2,0.369565,0.778761
Naive Bayes,2,0.434783,0.778761
Naive Bayes,2,0.434783,0.787611
Naive Bayes,2,0.434783,0.805310
Naive Bayes,2,0.434783,0.814159
Naive Bayes,2,0.478261,0.814159
Naive Bayes,2,0.500000,0.814159
Naive Bayes,2,0.500000,0.823009
Naive Bayes,2,0.543478,0.823009
Naive Bayes,2,0.543478,0.849558
Naive Bayes,2,0.586957,0.849558
Naive Bayes,2,0.586957,0.867257
Naive Bayes,2,0.608696,0.867257
Naive Bayes,2,0.608696,0.884956
Naive Bayes,2,0.695652,0.884956
Naive Bayes,2,0.695652,0.902655
Naive Bayes,2,0.717391,0.902655
Naive Bayes,2,0.717391,0.911504
Naive Bayes,2,0.739130,0.911504
Naive Bayes,2,0.739130,0.929204
Naive Bayes,2,0.760870,0.929204
Naive Bayes,2,0.760870,0.938053
Naive Bayes,2,0.804348,0.938053
Naive Bayes,2,0.804348,0.955752
Naive Bayes,2,0.869565,0.955752
Naive Bayes,2,0.869565,0.982301
Naive Bayes,2,0.913043,0.982301
Naive Bayes,2,0.913043,0.991150
Naive Bayes,2,0.956522,0.991150
Naive Bayes,2,0.956522,1.000000
Naive Bayes,2,1.000000,1.000000
KNN,2,0.000000,0.000000
KNN,2,0.021739,0.203540
KNN,2,0.065217,0.415929
KNN,2,0.260870,0.610619
KNN,2,0.478261,0.743363
KNN,2,0.608696,0.884956
KNN,2,0.739130,0.946903
KNN,2,0.869565,0.991150
KNN,2,0.956522,1.000000
KNN,2,1.000000,1.000000
SVM,2,0.000000,0.000000
SVM,2,0.000000,0.008850
SVM,2,0.021739,0.008850
SVM,2,0.021739,0.035398
SVM,2,0.021739,0.053097
SVM,2,0.021739,0.371681
SVM,2,0.043478,0.371681
SVM,2,0.043478,0.424779
SVM,2,0.065217,0.424779
SVM,2,0.065217,0.522124
SVM,2,0.065217,0.539823
SVM,2,0.065217,0.557522
SVM,2,0.065217,0.575221
SVM,2,0.065217,0.610619
SVM,2,0.086957,0.610619
SVM,2,0.086957,0.654867
SVM,2,0.108696,0.654867
SVM,2,0.108696,0.672566
SVM,2,0.130435,0.672566
SVM,2,0.130435,0.690265
SVM,2,0.152174,0.690265
SVM,2,0.195652,0.690265
SVM,2,0.195652,0.761062
SVM,2,0.217391,0.761062
SVM,2,0.217391,0.769912
SVM,2,0.239130,0.769912
SVM,2,0.239130,0.778761
SVM,2,0.260870,0.778761
SVM,2,0.260870,0.796460
SVM,2,0.282609,0.796460
SVM,2,0.282609,0.814159
SVM,2,0.347826,0.814159
SVM,2,0.347826,0.823009
SVM,2,0.391304,0.823009
SVM,2,0.391304,0.849558
SVM,2,0.413043,0.849558
SVM,2,0.413043,0.858407
SVM,2,0.434783,0.858407
SVM,2,0.434783,0.876106
SVM,2,0.478261,0.876106
SVM,2,0.478261,0.902655
SVM,2,0.521739,0.902655
SVM,2,0.521739,0.911504
SVM,2,0.565217,0.911504
SVM,2,0.565217,0.929204
SVM,2,0.652174,0.929204
SVM,2,0.652174,0.938053
SVM,2,0.673913,0.938053
SVM,2,0.673913,0.955752
SVM,2,0.695652,0.955752
SVM,2,0.695652,0.964602
SVM,2,0.804348,0.964602
SVM,2,0.847826,0.964602
SVM,2,0.869565,0.964602
SVM,2,0.869565,0.973451
SVM,2,0.913043,0.973451
SVM,2,0.913043,0.991150
SVM,2,0.934783,0.991150
SVM,2,0.934783,1.000000
SVM,2,1.000000,1.000000
XGBoost,3,0.000000,0.000000
XGBoost,3,0.000000,0.008475
XGBoost,3,0.000000,0.050847
XGBoost,3,0.000000,0.067797
XGBoost,3,0.000000,0.194915
XGBoost,3,0.024390,0.194915
XGBoost,3,0.024390,0.203390
XGBoost,3,0.073171,0.203390
XGBoost,3,0.073171,0.237288
XGBoost,3,0.073171,0.254237
XGBoost,3,0.073171,0.355932
XGBoost,3,0.097561,0.355932
XGBoost,3,0.097561,0.389831
XGBoost,3,0.121951,0.389831
XGBoost,3,0.121951,0.483051
XGBoost,3,0.146341,0.483051
XGBoost,3,0.146341,0.500000
XGBoost,3,0.170732,0.500000
XGBoost,3,0.170732,0.516949
XGBoost,3,0.195122,0.516949
XGBoost,3,0.195122,0.550847
XGBoost,3,0.219512,0.550847
XGBoost,3,0.219512,0.618644
XGBoost,3,0.243902,0.618644
XGBoost,3,0.243902,0.635593
XGBoost,3,0.268293,0.635593
XGBoost,3,0.268293,0.669492
XGBoost,3,0.292683,0.669492
XGBoost,3,0.292683,0.677966
XGBoost,3,0.317073,0.677966
XGBoost,3,0.317073,0.762712
XGBoost,3,0.341463,0.762712
XGBoost,3,0.341463,0.771186
XGBoost,3,0.365854,0.771186
XGBoost,3,0.365854,0.855932
XGBoost,3,0.390244,0.855932
XGBoost,3,0.390244,0.864407
XGBoost,3,0.439024,0.864407
XGBoost,3,0.439024,0.932203
XGBoost,3,0.463415,0.932203
XGBoost,3,0.512195,0.932203
XGBoost,3,0.609756,0.932203
XGBoost,3,0.609756,0.940678
XGBoost,3,0.634146,0.940678
XGBoost,3,0.634146,0.949153
XGBoost,3,0.682927,0.949153
XGBoost,3,0.682927,0.966102
XGBoost,3,0.731707,0.966102
XGBoost,3,0.731707,0.974576
XGBoost,3,0.804878,0.974576
XGBoost,3,0.804878,0.983051
XGBoost,3,0.926829,0.983051
XGBoost,3,0.926829,0.991525
XGBoost,3,0.975610,0.991525
XGBoost,3,0.975610,1.000000
XGBoost,3,1.000000,1.000000
Logistic Regression,3,0.000000,0.000000
Logistic Regression,3,0.000000,0.008475
Logistic Regression,3,0.000000,0.067797
Logistic Regression,3,0.000000,0.084746
Logistic Regression,3,0.000000,0.330508
Logistic Regression,3,0.000000,0.347458
Logistic Regression,3,0.000000,0.389831
Logistic Regression,3,0.024390,0.389831
Logistic Regression,3,0.024390,0.432203
Logistic Regression,3,0.073171,0.432203
Logistic Regression,3,0.073171,0.542373
Logistic Regression,3,0.097561,0.542373
Logistic Regression,3,0.097561,0.694915
Logistic Regression,3,0.121951,0.694915
Logistic Regression,3,0.121951,0.805085
Logistic Regression,3,0.170732,0.805085
Logistic Regression,3,0.170732,0.822034
Logistic Regression,3,0.243902,0.822034
Logistic Regression,3,0.243902,0.838983
Logistic Regression,3,0.292683,0.838983
Logistic Regression,3,0.292683,0.855932
Logistic Regression,3,0.317073,0.855932
Logistic Regression,3,0.365854,0.855932
Logistic Regression,3,0.365854,0.923729
Logistic Regression,3,0.390244,0.923729
Logistic Regression,3,0.390244,0.949153
Logistic Regression,3,0.439024,0.949153
Logistic Regression,3,0.439024,0.957627
Logistic Regression,3,0.560976,0.957627
Logistic Regression,3,0.560976,0.974576
Logistic Regression,3,0.609756,0.974576
Logistic Regression,3,0.609756,0.983051
Logistic Regression,3,0.682927,0.983051
Logistic Regression,3,0.682927,0.991525
Logistic Regression,3,0.707317,0.991525
Logistic Regression,3,0.707317,1.000000
Logistic Regression,3,1.000000,1.000000
Naive Bayes,3,0.000000,0.000000
Naive Bayes,3,0.000000,0.008475
Naive Bayes,3,0.000000,0.042373
Naive Bayes,3,0.000000,0.059322
Naive Bayes,3,0.000000,0.118644
Naive Bayes,3,0.000000,0.135593
Naive Bayes,3,0.000000,0.203390
Naive Bayes,3,0.024390,0.203390
Naive Bayes,3,0.024390,0.237288
Naive Bayes,3,0.073171,0.237288
Naive Bayes,3,0.073171,0.372881
Naive Bayes,3,0.121951,0.372881
Naive Bayes,3,0.121951,0.449153
Naive Bayes,3,0.146341,0.449153
Naive Bayes,3,0.146341,0.457627
Naive Bayes,3,0.219512,0.457627
Naive Bayes,3,0.219512,0.601695
Naive Bayes,3,0.268293,0.601695
Naive Bayes,3,0.268293,0.652542
Naive Bayes,3,0.292683,0.652542
Naive Bayes,3,0.292683,0.677966
Naive Bayes,3,0.341463,0.677966
Naive Bayes,3,0.341463,0.711864
Naive Bayes,3,0.365854,0.711864
Naive Bayes,3,0.365854,0.745763
Naive Bayes,3,0.414634,0.745763
Naive Bayes,3,0.414634,0.813559
Naive Bayes,3,0.463415,0.813559
Naive Bayes,3,0.463415,0.855932
Naive Bayes,3,0.487805,0.855932
Naive Bayes,3,0.487805,0.906780
Naive Bayes,3,0.512195,0.906780
Naive Bayes,3,0.512195,0.923729
Naive Bayes,3,0.536585,0.923729
Naive Bayes,3,0.536585,0.932203
Naive Bayes,3,0.560976,0.932203
Naive Bayes,3,0.560976,0.957627
Naive Bayes,3,0.585366,0.957627
Naive Bayes,3,0.585366,0.966102
Naive Bayes,3,0.609756,0.966102
Naive Bayes,3,0.609756,0.974576
Naive Bayes,3,0.634146,0.974576
Naive Bayes,3,0.634146,0.983051
Naive Bayes,3,0.853659,0.983051
Naive Bayes,3,0.853659,0.991525
Naive Bayes,3,0.926829,0.991525
Naive Bayes,3,0.926829,1.000000
Naive Bayes,3,1.000000,1.000000
KNN,3,0.000000,0.000000
KNN,3,0.000000,0.161017
KNN,3,0.048780,0.440678
KNN,3,0.268293,0.644068
KNN,3,0.341463,0.788136
KNN,3,0.487805,0.881356
KNN,3,0.682927,0.940678
KNN,3,0.951220,0.983051
KNN,3,1.000000,0.991525
KNN,3,1.000000,1.000000
SVM,3,0.000000,0.000000
SVM,3,0.000000,0.008475
SVM,3,0.000000,0.025424
SVM,3,0.000000,0.042373
SVM,3,0.000000,0.211864
SVM,3,0.024390,0.211864
SVM,3,0.024390,0.305085
SVM,3,0.024390,0.322034
SVM,3,0.024390,0.423729
SVM,3,0.048780,0.423729
SVM,3,0.048780,0.559322
SVM,3,0.097561,0.559322
SVM,3,0.097561,0.627119
SVM,3,0.170732,0.627119
SVM,3,0.170732,0.661017
SVM,3,0.195122,0.661017
SVM,3,0.195122,0.728814
SVM,3,0.219512,0.728814
SVM,3,0.219512,0.762712
SVM,3,0.243902,0.762712
SVM,3,0.243902,0.771186
SVM,3,0.268293,0.771186
SVM,3,0.268293,0.779661
SVM,3,0.292683,0.779661
SVM,3,0.292683,0.838983
SVM,3,0.341463,0.838983
SVM,3,0.341463,0.847458
SVM,3,0.365854,0.847458
SVM,3,0.365854,0.855932
SVM,3,0.390244,0.855932
SVM,3,0.390244,0.881356
SVM,3,0.414634,0.881356
SVM,3,0.414634,0.889831
SVM,3,0.439024,0.889831
SVM,3,0.439024,0.940678
SVM,3,0.536585,0.940678
SVM,3,0.536585,0.957627
SVM,3,0.609756,0.957627
SVM,3,0.609756,0.966102
SVM,3,0.634146,0.966102
SVM,3,0.634146,0.974576
SVM,3,0.682927,0.974576
SVM,3,0.682927,0.983051
SVM,3,0.707317,0.983051
SVM,3,0.707317,0.991525
SVM,3,0.780488,0.991525
SVM,3,0.780488,1.000000
SVM,3,1.000000,1.000000
XGBoost,4,0.000000,0.000000
XGBoost,4,0.000000,0.009259
XGBoost,4,0.000000,0.120370
XGBoost,4,0.039216,0.120370
XGBoost,4,0.039216,0.194444
XGBoost,4,0.058824,0.194444
XGBoost,4,0.098039,0.194444
XGBoost,4,0.098039,0.212963
XGBoost,4,0.117647,0.212963
XGBoost,4,0.117647,0.222222
XGBoost,4,0.137255,0.222222
XGBoost,4,0.137255,0.268519
XGBoost,4,0.137255,0.287037
XGBoost,4,0.137255,0.296296
XGBoost,4,0.176471,0.296296
XGBoost,4,0.176471,0.324074
XGBoost,4,0.196078,0.324074
XGBoost,4,0.196078,0.342593
XGBoost,4,0.215686,0.342593
XGBoost,4,0.215686,0.351852
XGBoost,4,0.235294,0.351852
XGBoost,4,0.235294,0.388889
XGBoost,4,0.274510,0.388889
XGBoost,4,0.274510,0.398148
XGBoost,4,0.294118,0.398148
XGBoost,4,0.294118,0.462963
XGBoost,4,0.294118,0.481481
XGBoost,4,0.294118,0.555556
XGBoost,4,0.294118,0.574074
XGBoost,4,0.294118,0.592593
XGBoost,4,0.313725,0.592593
XGBoost,4,0.313725,0.666667
XGBoost,4,0.352941,0.666667
XGBoost,4,0.352941,0.685185
XGBoost,4,0.372549,0.685185
XGBoost,4,0.372549,0.722222
XGBoost,4,0.392157,0.722222
XGBoost,4,0.392157,0.731481
XGBoost,4,0.411765,0.731481
XGBoost,4,0.411765,0.750000
XGBoost,4,0.490196,0.750000
XGBoost,4,0.490196,0.768519
XGBoost,4,0.529412,0.768519
XGBoost,4,0.529412,0.777778
XGBoost,4,0.549020,0.777778
XGBoost,4,0.549020,0.805556
XGBoost,4,0.568627,0.805556
XGBoost,4,0.568627,0.824074
XGBoost,4,0.588235,0.824074
XGBoost,4,0.588235,0.842593
XGBoost,4,0.627451,0.842593
XGBoost,4,0.627451,0.851852
XGBoost,4,0.647059,0.851852
XGBoost,4,0.647059,0.879630
XGBoost,4,0.666667,0.879630
XGBoost,4,0.666667,0.925926
XGBoost,4,0.725490,0.925926
XGBoost,4,0.725490,0.935185
XGBoost,4,0.745098,0.935185
XGBoost,4,0.745098,0.953704
XGBoost,4,0.784314,0.953704
XGBoost,4,0.784314,0.962963
XGBoost,4,0.803922,0.962963
XGBoost,4,0.803922,0.972222
XGBoost,4,0.882353,0.972222
XGBoost,4,0.882353,0.990741
XGBoost,4,1.000000,0.990741
XGBoost,4,1.000000,1.000000
Logistic Regression,4,0.000000,0.000000
Logistic Regression,4,0.000000,0.009259
Logistic Regression,4,0.000000,0.018519
Logistic Regression,4,0.019608,0.018519
Logistic Regression,4,0.019608,0.351852
Logistic Regression,4,0.019608,0.370370
Logistic Regression,4,0.019608,0.398148
Logistic Regression,4,0.039216,0.398148
Logistic Regression,4,0.039216,0.407407
Logistic Regression,4,0.078431,0.407407
Logistic Regression,4,0.078431,0.425926
Logistic Regression,4,0.117647,0.425926
Logistic Regression,4,0.117647,0.462963
Logistic Regression,4,0.137255,0.462963
Logistic Regression,4,0.137255,0.583333
Logistic Regression,4,0.176471,0.583333
Logistic Regression,4,0.235294,0.583333
Logistic Regression,4,0.235294,0.592593
Logistic Regression,4,0.254902,0.592593
Logistic Regression,4,0.254902,0.611111
Logistic Regression,4,0.274510,0.611111
Logistic Regression,4,0.274510,0.620370
Logistic Regression,4,0.294118,0.620370
Logistic Regression,4,0.294118,0.629630
Logistic Regression,4,0.313725,0.629630
Logistic Regression,4,0.352941,0.629630
Logistic Regression,4,0.372549,0.629630
Logistic Regression,4,0.372549,0.648148
Logistic Regression,4,0.392157,0.648148
Logistic Regression,4,0.392157,0.666667
Logistic Regression,4,0.411765,0.666667
Logistic Regression,4,0.411765,0.685185
Logistic Regression,4,0.431373,0.685185
Logistic Regression,4,0.431373,0.768519
Logistic Regression,4,0.450980,0.768519
Logistic Regression,4,0.450980,0.796296
Logistic Regression,4,0.490196,0.796296
Logistic Regression,4,0.490196,0.805556
Logistic Regression,4,0.509804,0.805556
Logistic Regression,4,0.509804,0.879630
Logistic Regression,4,0.568627,0.879630
Logistic Regression,4,0.568627,0.907407
Logistic Regression,4,0.588235,0.907407
Logistic Regression,4,0.588235,0.916667
Logistic Regression,4,0.607843,0.916667
Logistic Regression,4,0.607843,0.944444
Logistic Regression,4,0.627451,0.944444
Logistic Regression,4,0.627451,0.953704
